record_timestamp,devtmpfs,sda1,cs_root,tmpfs_root,usr,nice,sys,iowait,irq,soft,steal,guest,gnice,idle,mem_total,mem_used,mem_free,mem_shared,mem_buffcached,mem_available,swap_total,swap_used,swap_free
2024-02-29 15:16:57.428+02,0,285760,4544704,4544648,4.91,0.03,3.68,0.21,0,1.4,0,0,0,89.75,3747104,2306668,517720,2516,1172592,1439508,1048572,7216,1041356
2024-02-29 15:17:57.585+02,0,285760,4545104,4544696,4.87,0.03,3.69,0.21,0,1.39,0,0,0,89.8,3747104,2315020,503496,2516,1170596,1431420,1048572,7216,1041356
2024-02-29 15:18:57.762+02,0,285760,4544928,4545028,4.82,0.03,3.69,0.21,0,1.38,0,0,0,89.86,3747104,2309716,503992,2516,1174012,1433144,1048572,7216,1041356
2024-02-29 15:19:58.177+02,0,285760,4681836,4681776,4.78,0.03,3.69,0.2,0,1.38,0,0,0,89.92,3747104,2374804,348448,2520,1265992,1364492,1048572,7216,1041356
2024-02-29 15:20:57.954+02,0,285760,4848892,4848832,4.74,0.03,3.68,0.21,0,1.37,0,0,0,89.98,3747104,2301716,372932,2520,1307168,1440080,1048572,7216,1041356
2024-02-29 15:21:57.046+02,0,285760,4848100,4848484,4.69,0.03,3.65,0.2,0,1.35,0,0,0,90.07,3747104,2298036,384784,2520,1308744,1446084,1048572,7216,1041356
2024-02-29 15:22:57.15+02,0,285760,4848204,4848156,4.64,0.03,3.63,0.2,0,1.34,0,0,0,90.17,3747104,2314448,370964,2520,1305184,1432252,1048572,7216,1041356
2024-02-29 15:23:57.287+02,0,285760,4848704,4848292,4.58,0.03,3.6,0.2,0,1.32,0,0,0,90.27,3747104,2307736,386192,2520,1306964,1436024,1048572,7216,1041356
2024-02-29 15:24:57.422+02,0,285760,4848276,4848396,4.52,0.03,3.58,0.19,0,1.3,0,0,0,90.37,3747104,2308792,376032,2520,1307268,1434604,1048572,7216,1041356
2024-02-29 15:25:57.579+02,0,285760,4848324,4848296,4.47,0.03,3.56,0.19,0,1.29,0,0,0,90.46,3747104,2314132,363164,2540,1306360,1429604,1048572,7216,1041356
2024-02-29 15:26:57.689+02,0,285760,4848676,4848616,4.42,0.03,3.53,0.19,0,1.27,0,0,0,90.56,3747104,2315828,369256,2532,1313600,1431296,1048572,7216,1041356
2024-02-29 15:27:57.833+02,0,285760,4848660,4848612,4.37,0.03,3.51,0.19,0,1.26,0,0,0,90.65,3747104,2329244,372012,2532,1306324,1431924,1048572,7216,1041356
2024-02-29 15:28:57.971+02,0,285760,4848676,4848616,4.32,0.02,3.49,0.19,0,1.25,0,0,0,90.73,3747104,2314984,370136,2532,1308980,1434408,1048572,7216,1041356
2024-02-29 15:29:58.088+02,0,285760,4849256,4848820,4.27,0.02,3.47,0.18,0,1.23,0,0,0,90.82,3747104,2327600,361528,2548,1308928,1420536,1048572,7216,1041356
2024-02-29 15:30:58.199+02,0,285760,4849188,4849412,4.22,0.02,3.45,0.18,0,1.22,0,0,0,90.89,3747104,2335940,346924,2564,1317340,1409452,1048572,7216,1041356
2024-02-29 15:31:58.32+02,0,285760,4848432,4849168,4.18,0.02,3.44,0.18,0,1.21,0,0,0,90.97,3747104,2383032,286952,2564,1327356,1362164,1048572,6960,1041612
2024-02-29 15:32:58.574+02,0,285760,4912344,4912148,4.17,0.02,3.43,0.18,0,1.2,0,0,0,91,3747104,2289236,816596,2560,875868,1454708,1048572,6960,1041612
